time,Ep_eff,Nloop_1,Nloop_10,Nloop_11,Nloop_12,Nloop_13,Nloop_14,Nloop_15,Nloop_16,Nloop_17,Nloop_18,Nloop_19,Nloop_2,Nloop_20,Nloop_21,Nloop_22,Nloop_23,Nloop_24,Nloop_3,Nloop_4,Nloop_5,Nloop_6,Nloop_7,Nloop_8,Nloop_9,dloop_1,dloop_10,dloop_11,dloop_12,dloop_13,dloop_14,dloop_15,dloop_16,dloop_17,dloop_18,dloop_19,dloop_2,dloop_20,dloop_21,dloop_22,dloop_23,dloop_24,dloop_3,dloop_4,dloop_5,dloop_6,dloop_7,dloop_8,dloop_9,eeq,gslipr_1,gslipr_10,gslipr_11,gslipr_12,gslipr_13,gslipr_14,gslipr_15,gslipr_16,gslipr_17,gslipr_18,gslipr_19,gslipr_2,gslipr_20,gslipr_21,gslipr_22,gslipr_23,gslipr_24,gslipr_3,gslipr_4,gslipr_5,gslipr_6,gslipr_7,gslipr_8,gslipr_9,rho_i,rho_m,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002595868,9.44E-51,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,2.31E-07,5.68E-49,-2.82E-49,-9.80E-49,6.33E-49,-4.70E-50,2.36E-49,1.44E-48,-6.12E-49,1.55E-48,2.02E-49,4.07E-49,-4.47E-50,7.90E-49,1.71E-49,3.17E-49,1.22E-49,1.38E-48,-9.72E-49,8.00E-49,-1.21E-48,4.73E-49,-1.57E-49,2.72E-50,-6.55E-50,16000000,4000000,-6.92E-08,-6.31E-08,2.60E-07,-1.18E-10,-1.17E-10,0.05927289,0.061948463
0.015485278,1.62E-49,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.38E-06,4.28E-48,6.31E-49,-3.02E-48,2.39E-48,-5.73E-48,-2.61E-48,4.55E-48,-4.46E-48,4.05E-48,-1.60E-48,-4.50E-49,1.82E-48,-1.07E-49,-2.02E-48,-2.93E-48,-1.97E-48,1.97E-48,-5.88E-48,3.05E-48,-5.12E-48,1.44E-48,-3.11E-50,9.12E-49,-6.83E-49,16000000,4000000,-4.13E-07,-3.77E-07,1.55E-06,-4.20E-09,-4.17E-09,0.353586464,0.36954718
0.083081687,2.06E-47,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,7.39E-06,2.15E-47,4.49E-48,-1.38E-47,1.85E-47,-2.29E-48,1.34E-47,3.19E-47,-3.05E-47,4.43E-47,-1.11E-47,5.97E-48,1.29E-47,-1.05E-47,-9.68E-48,-2.83E-48,-1.43E-47,1.85E-47,-3.40E-47,2.76E-47,-4.97E-47,9.96E-48,-5.49E-48,9.20E-48,-5.65E-48,16000000,4000000,-2.21E-06,-2.02E-06,8.31E-06,-1.21E-07,-1.20E-07,1.897134378,1.982765923
0.501620836,1.56E-42,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,4.46E-05,3.29E-43,1.71E-43,-5.63E-44,-3.01E-45,5.57E-43,3.02E-43,-2.62E-44,-2.15E-43,8.11E-44,-2.53E-43,-3.47E-43,2.44E-43,-2.14E-43,1.05E-43,2.10E-43,-3.25E-43,-2.86E-43,-3.90E-43,1.34E-44,-2.57E-43,1.66E-44,2.49E-44,-3.44E-44,-2.85E-44,16000000,4000000,-1.34E-05,-1.22E-05,5.02E-05,-4.40E-06,-4.38E-06,11.45693381,11.9739139
2.237514243,1.15E-33,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.00019906,2.29E-35,5.20E-36,-3.42E-36,-2.51E-36,1.06E-33,3.64E-34,1.16E-36,1.55E-35,9.30E-35,-4.95E-36,-2.58E-35,2.80E-36,2.92E-35,3.64E-34,4.06E-34,-1.25E-35,-1.61E-35,2.15E-35,-7.43E-36,-2.14E-35,2.32E-36,-2.73E-37,-4.64E-35,-4.61E-36,16000000,4000000,-5.97E-05,-5.44E-05,0.000223726,-8.75E-05,-8.70E-05,51.15691544,53.46227942
4.237514243,1.20E-27,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.000377049,2.12E-29,1.06E-29,-2.65E-30,6.22E-31,3.87E-28,1.98E-29,-6.05E-30,-2.77E-29,-4.05E-30,-1.66E-29,-1.38E-29,1.46E-29,-7.56E-30,1.01E-28,6.77E-29,-1.08E-29,-2.97E-29,-1.41E-29,-4.68E-30,-1.03E-30,-4.52E-30,-3.51E-31,3.08E-30,6.07E-31,16000000,4000000,-0.000113066,-0.000103181,0.000423661,-0.000313953,-0.000312113,97.00345196,101.368028
6.237514243,3.39E-23,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.000555095,1.54E-24,1.17E-24,-1.81E-25,1.03E-25,-7.38E-23,-2.73E-23,-7.61E-25,-4.19E-24,-7.67E-24,-1.73E-24,-7.07E-25,2.12E-24,-3.54E-24,-2.47E-23,-2.86E-23,-8.33E-25,-2.53E-24,-3.87E-24,-2.01E-25,8.19E-25,-4.73E-25,-1.03E-26,3.95E-24,2.52E-25,16000000,4000000,-0.000166546,-0.000151985,0.000623554,-0.000680062,-0.000676205,142.9634437,149.3858786
8.237514243,7.69E-20,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.000733197,3.79E-22,2.44E-22,-4.17E-23,2.50E-23,-1.52E-19,-2.63E-21,-1.66E-22,-8.31E-22,-9.28E-22,-4.01E-22,-1.97E-22,4.12E-21,-4.88E-22,-5.88E-22,-1.81E-21,-2.11E-22,-6.26E-22,-2.50E-21,-6.42E-23,1.16E-22,-1.21E-22,-4.44E-24,4.92E-22,4.76E-23,16000000,4000000,-0.0002201,-0.000200858,0.000823408,-0.001185673,-0.00117918,189.0370871,197.5160298
10.23751424,1.90E-16,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,16125,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.000911356,3.53E-18,2.99E-18,-3.27E-19,2.79E-19,-3.51E-16,-1.03E-16,-2.14E-18,-1.20E-17,-2.74E-17,-5.05E-18,-1.51E-18,6.32E-18,-1.22E-17,-1.09E-16,-1.15E-16,-2.39E-18,-6.55E-18,-1.21E-17,-4.24E-19,2.66E-18,-1.35E-18,-2.36E-20,1.41E-17,7.52E-19,16000000,4000000,-0.000273728,-0.000249798,0.001023221,-0.001830604,-0.001820939,235.2245794,245.7586803
