time	Ep_eff	StrainRate	Nloop_1	Nloop_10	Nloop_11	Nloop_12	Nloop_13	Nloop_14	Nloop_15	Nloop_16	Nloop_17	Nloop_18	Nloop_19	Nloop_2	Nloop_20	Nloop_21	Nloop_22	Nloop_23	Nloop_24	Nloop_3	Nloop_4	Nloop_5	Nloop_6	Nloop_7	Nloop_8	Nloop_9	cslipr_1	cslipr_10	cslipr_11	cslipr_12	cslipr_13	cslipr_14	cslipr_15	cslipr_16	cslipr_17	cslipr_18	cslipr_19	cslipr_2	cslipr_20	cslipr_21	cslipr_22	cslipr_23	cslipr_24	cslipr_3	cslipr_4	cslipr_5	cslipr_6	cslipr_7	cslipr_8	cslipr_9	cstrainfrac1	cstrainfrac2	dloop_1	dloop_10	dloop_11	dloop_12	dloop_13	dloop_14	dloop_15	dloop_16	dloop_17	dloop_18	dloop_19	dloop_2	dloop_20	dloop_21	dloop_22	dloop_23	dloop_24	dloop_3	dloop_4	dloop_5	dloop_6	dloop_7	dloop_8	dloop_9	eeq	gslipr_1	gslipr_10	gslipr_11	gslipr_12	gslipr_13	gslipr_14	gslipr_15	gslipr_16	gslipr_17	gslipr_18	gslipr_19	gslipr_2	gslipr_20	gslipr_21	gslipr_22	gslipr_23	gslipr_24	gslipr_3	gslipr_4	gslipr_5	gslipr_6	gslipr_7	gslipr_8	gslipr_9	rho_i	rho_m	strain_xx	strain_yy	strain_zz	stress_xx	stress_yy	stress_zz	vonmises
0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140.9191466	6.89E-09	3.12E-06	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	6.13E-12	6.13E-12	6.13E-12	6.13E-12	6.13E-12	6.13E-12	6.13E-12	6.04E-12	6.04E-12	6.04E-12	6.75E-12	6.13E-12	6.75E-12	6.75E-12	6.13E-12	6.13E-12	6.13E-12	6.13E-12	6.04E-12	6.04E-12	6.04E-12	6.75E-12	6.75E-12	6.75E-12	1	0.999999997	3.47E-06	3.47E-06	3.47E-06	3.47E-06	3.47E-06	3.47E-06	3.47E-06	3.47E-06	3.47E-06	3.47E-06	3.47E-06	3.47E-06	3.47E-06	3.47E-06	3.47E-06	3.47E-06	3.47E-06	3.47E-06	3.47E-06	3.47E-06	3.47E-06	3.47E-06	3.47E-06	3.47E-06	0.000425594	8.06E-22	-2.67E-21	2.14E-19	5.98E-20	-4.67E-22	-2.15E-22	-6.15E-23	7.28E-22	-7.88E-22	1.27E-21	-7.03E-22	-2.96E-22	-2.00E-21	-1.61E-21	4.02E-20	-4.56E-21	-3.36E-21	-1.96E-21	2.36E-21	3.55E-21	-1.12E-21	-2.43E-21	2.94E-21	-2.15E-21	15999998.28	3999999.428	-0.000203851	0.000439069	0.000122795	-0.000607861	108.4803755	54.24191629	98.19034059
445.6254691	4.52E-08	9.24E-08	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	7.32E-12	7.31E-12	7.31E-12	7.31E-12	7.32E-12	7.32E-12	7.32E-12	7.21E-12	7.21E-12	7.21E-12	8.05E-12	7.32E-12	8.05E-12	8.05E-12	7.31E-12	7.31E-12	7.31E-12	7.32E-12	7.21E-12	7.21E-12	7.21E-12	8.05E-12	8.05E-12	8.05E-12	0.999999998	0.999999899	4.30E-06	4.30E-06	4.30E-06	4.30E-06	4.30E-06	4.30E-06	4.30E-06	4.30E-06	4.30E-06	4.30E-06	4.30E-06	4.30E-06	4.30E-06	4.30E-06	4.30E-06	4.30E-06	4.30E-06	4.30E-06	4.30E-06	4.30E-06	4.30E-06	4.30E-06	4.30E-06	4.30E-06	0.000452908	3.05E-20	-9.85E-20	9.85E-18	2.85E-18	-1.82E-20	-7.04E-21	-1.92E-21	2.41E-20	-2.85E-20	5.12E-20	-2.34E-20	-9.71E-21	-7.70E-20	-5.68E-20	1.73E-18	-1.92E-19	-1.32E-19	-9.89E-20	8.79E-20	1.25E-19	-4.42E-20	-1.04E-19	1.11E-19	-7.89E-20	15999989.61	3999996.251	-0.000216973	0.000467216	0.000130721	-0.000686042	115.4707212	57.73731032	104.5152179
1409.191466	1.67E-07	1.52E-10	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	2.08333E+12	7.32E-12	7.31E-12	7.31E-12	7.31E-12	7.32E-12	7.32E-12	7.32E-12	7.21E-12	7.21E-12	7.21E-12	8.05E-12	7.32E-12	8.05E-12	8.05E-12	7.31E-12	7.31E-12	7.31E-12	7.32E-12	7.21E-12	7.21E-12	7.21E-12	8.05E-12	8.05E-12	8.05E-12	1	0.999999949	6.27E-06	6.27E-06	6.27E-06	6.27E-06	6.27E-06	6.27E-06	6.27E-06	6.27E-06	6.27E-06	6.27E-06	6.27E-06	6.27E-06	6.27E-06	6.27E-06	6.27E-06	6.27E-06	6.27E-06	6.27E-06	6.27E-06	6.27E-06	6.27E-06	6.27E-06	6.27E-06	6.27E-06	0.000453013	1.57E-20	-5.11E-20	4.92E-18	1.42E-18	-9.34E-21	-3.74E-21	-1.01E-21	1.28E-20	-1.48E-20	2.62E-20	-1.23E-20	-5.14E-21	-3.96E-20	-2.97E-20	8.73E-19	-9.75E-20	-6.74E-20	-4.90E-20	4.55E-20	6.54E-20	-2.28E-20	-5.27E-20	5.76E-20	-4.10E-20	15999962.11	3999986.172	-0.000216971	0.000467363	0.000130745	-0.000685762	115.4707217	57.7373102	104.513403
4456.254691	5.51E-07	1.52E-10	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	7.32E-12	7.31E-12	7.31E-12	7.31E-12	7.32E-12	7.32E-12	7.32E-12	7.20E-12	7.20E-12	7.20E-12	8.05E-12	7.32E-12	8.05E-12	8.05E-12	7.31E-12	7.31E-12	7.31E-12	7.32E-12	7.20E-12	7.20E-12	7.20E-12	8.05E-12	8.05E-12	8.05E-12	1	0.999999984	1.03E-05	1.03E-05	1.03E-05	1.03E-05	1.03E-05	1.03E-05	1.03E-05	1.03E-05	1.03E-05	1.03E-05	1.03E-05	1.03E-05	1.03E-05	1.03E-05	1.03E-05	1.03E-05	1.03E-05	1.03E-05	1.03E-05	1.03E-05	1.03E-05	1.03E-05	1.03E-05	1.03E-05	0.000453345	5.02E-21	-1.65E-20	1.48E-18	4.25E-19	-2.96E-21	-1.26E-21	-3.21E-22	4.30E-21	-4.79E-21	8.31E-21	-4.06E-21	-1.72E-21	-1.26E-20	-9.69E-21	2.70E-19	-3.02E-20	-2.12E-20	-1.46E-20	1.46E-20	2.14E-20	-7.26E-21	-1.64E-20	1.86E-20	-1.32E-20	15999875.15	3999954.301	-0.000216966	0.000467827	0.000130822	-0.000684879	115.4707234	57.73730982	104.5076718
14091.91466	1.77E-06	1.52E-10	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	7.31E-12	7.31E-12	7.31E-12	7.31E-12	7.31E-12	7.31E-12	7.31E-12	7.20E-12	7.20E-12	7.20E-12	8.05E-12	7.31E-12	8.05E-12	8.05E-12	7.31E-12	7.31E-12	7.31E-12	7.31E-12	7.20E-12	7.20E-12	7.20E-12	8.05E-12	8.05E-12	8.05E-12	1	0.999999997	1.77E-05	1.77E-05	1.77E-05	1.77E-05	1.77E-05	1.77E-05	1.77E-05	1.77E-05	1.77E-05	1.77E-05	1.77E-05	1.77E-05	1.77E-05	1.77E-05	1.77E-05	1.77E-05	1.77E-05	1.77E-05	1.77E-05	1.77E-05	1.77E-05	1.77E-05	1.77E-05	1.77E-05	0.000454394	9.44E-22	-3.19E-21	2.59E-19	7.36E-20	-5.51E-22	-2.58E-22	-5.39E-23	8.95E-22	-9.15E-22	1.58E-21	-7.91E-22	-3.52E-22	-2.38E-21	-1.90E-21	4.90E-20	-5.50E-21	-3.87E-21	-2.53E-21	2.81E-21	4.24E-21	-1.39E-21	-3.03E-21	3.61E-21	-2.57E-21	15999600.21	3999853.547	-0.000216948	0.000469295	0.000131063	-0.000682086	115.4707289	57.73730861	104.4896255
44562.54691	5.60E-06	1.52E-10	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	2.08334E+12	7.30E-12	7.30E-12	7.30E-12	7.30E-12	7.30E-12	7.30E-12	7.30E-12	7.19E-12	7.19E-12	7.19E-12	8.04E-12	7.30E-12	8.04E-12	8.04E-12	7.30E-12	7.30E-12	7.30E-12	7.30E-12	7.19E-12	7.19E-12	7.19E-12	8.04E-12	8.04E-12	8.04E-12	1	1	3.12E-05	3.12E-05	3.12E-05	3.12E-05	3.12E-05	3.12E-05	3.12E-05	3.12E-05	3.12E-05	3.12E-05	3.12E-05	3.12E-05	3.12E-05	3.12E-05	3.12E-05	3.12E-05	3.12E-05	3.12E-05	3.12E-05	3.12E-05	3.12E-05	3.12E-05	3.12E-05	3.12E-05	0.000457713	1.02E-22	-3.70E-22	2.62E-20	7.45E-21	-5.88E-23	-3.22E-23	-2.00E-24	1.19E-22	-9.90E-23	1.84E-22	-8.60E-23	-4.40E-23	-2.64E-22	-2.22E-22	5.33E-21	-5.84E-22	-3.96E-22	-2.67E-22	3.27E-22	5.07E-22	-1.66E-22	-3.42E-22	4.33E-22	-3.03E-22	15998731.37	3999535.231	-0.000216892	0.000473931	0.000131827	-0.00067337	115.4707458	57.73730462	104.4333276
140919.1466	1.77E-05	1.52E-10	2.08335E+12	2.08335E+12	2.08335E+12	2.08335E+12	2.08335E+12	2.08335E+12	2.08335E+12	2.08335E+12	2.08335E+12	2.08335E+12	2.08335E+12	2.08335E+12	2.08335E+12	2.08335E+12	2.08335E+12	2.08335E+12	2.08335E+12	2.08335E+12	2.08335E+12	2.08335E+12	2.08335E+12	2.08335E+12	2.08335E+12	2.08335E+12	7.28E-12	7.28E-12	7.28E-12	7.28E-12	7.28E-12	7.28E-12	7.28E-12	7.16E-12	7.16E-12	7.16E-12	8.01E-12	7.28E-12	8.01E-12	8.01E-12	7.28E-12	7.28E-12	7.28E-12	7.28E-12	7.16E-12	7.16E-12	7.16E-12	8.01E-12	8.01E-12	8.01E-12	1	1	5.54E-05	5.54E-05	5.54E-05	5.54E-05	5.54E-05	5.54E-05	5.54E-05	5.54E-05	5.54E-05	5.54E-05	5.54E-05	5.54E-05	5.54E-05	5.54E-05	5.54E-05	5.54E-05	5.54E-05	5.54E-05	5.54E-05	5.54E-05	5.54E-05	5.54E-05	5.54E-05	5.54E-05	0.000468229	5.72E-24	-2.61E-23	1.53E-21	4.54E-22	-3.09E-24	-2.42E-24	9.88E-25	1.10E-23	-4.76E-24	1.43E-23	-3.73E-24	-3.35E-24	-1.64E-23	-1.52E-23	3.61E-22	-3.51E-23	-1.87E-23	-2.02E-23	2.35E-23	3.65E-23	-1.32E-23	-2.53E-23	3.41E-23	-2.23E-23	15995989.51	3998531.553	-0.000216701	0.000488544	0.000134233	-0.000649773	115.4707929	57.73728724	104.262787
445625.4691	5.55E-05	1.50E-10	2.08336E+12	2.08336E+12	2.08336E+12	2.08336E+12	2.08336E+12	2.08336E+12	2.08336E+12	2.08336E+12	2.08336E+12	2.08336E+12	2.08337E+12	2.08336E+12	2.08337E+12	2.08337E+12	2.08336E+12	2.08336E+12	2.08336E+12	2.08336E+12	2.08336E+12	2.08336E+12	2.08336E+12	2.08337E+12	2.08337E+12	2.08337E+12	7.20E-12	7.21E-12	7.21E-12	7.21E-12	7.20E-12	7.20E-12	7.20E-12	7.08E-12	7.08E-12	7.08E-12	7.94E-12	7.20E-12	7.94E-12	7.94E-12	7.21E-12	7.21E-12	7.21E-12	7.20E-12	7.08E-12	7.08E-12	7.08E-12	7.94E-12	7.94E-12	7.94E-12	1	1	9.84E-05	9.84E-05	9.84E-05	9.84E-05	9.84E-05	9.84E-05	9.84E-05	9.84E-05	9.84E-05	9.84E-05	9.84E-05	9.84E-05	9.84E-05	9.84E-05	9.84E-05	9.84E-05	9.84E-05	9.84E-05	9.84E-05	9.84E-05	9.84E-05	9.84E-05	9.84E-05	9.84E-05	0.000501618	4.85E-26	-1.14E-24	4.96E-23	1.73E-23	2.66E-26	-9.23E-26	2.07E-25	7.77E-25	2.15E-25	8.41E-25	2.54E-25	-1.33E-25	-4.01E-25	-5.48E-25	1.59E-23	-8.93E-25	2.42E-25	-1.44E-24	1.10E-24	1.37E-24	-7.56E-25	-1.33E-24	1.98E-24	-1.15E-24	15987372.97	3995385.434	-0.000215968	0.000534299	0.00014177	-0.000683286	115.4707749	57.7371086	103.7922918
561009.2272	6.97E-05	1.48E-10	2.08337E+12	2.08337E+12	2.08337E+12	2.08337E+12	2.08337E+12	2.08337E+12	2.08337E+12	2.08337E+12	2.08337E+12	2.08337E+12	2.08337E+12	2.08337E+12	2.08337E+12	2.08337E+12	2.08337E+12	2.08337E+12	2.08337E+12	2.08337E+12	2.08337E+12	2.08337E+12	2.08337E+12	2.08337E+12	2.08337E+12	2.08337E+12	7.16E-12	7.18E-12	7.18E-12	7.18E-12	7.16E-12	7.16E-12	7.16E-12	7.03E-12	7.03E-12	7.03E-12	7.90E-12	7.16E-12	7.90E-12	7.90E-12	7.18E-12	7.18E-12	7.18E-12	7.16E-12	7.03E-12	7.03E-12	7.03E-12	7.90E-12	7.90E-12	7.90E-12	1	1	0.000110154	0.000110162	0.000110162	0.000110162	0.000110154	0.000110154	0.000110154	0.000110155	0.000110155	0.000110155	0.000110159	0.000110154	0.000110159	0.000110159	0.000110162	0.000110162	0.000110162	0.000110154	0.000110155	0.000110155	0.000110155	0.000110159	0.000110159	0.000110159	0.000514278	-2.16E-26	-4.49E-25	1.71E-23	6.46E-24	4.69E-26	-2.95E-26	1.14E-25	3.60E-25	1.96E-25	3.71E-25	2.00E-25	-4.19E-26	-8.30E-26	-1.93E-25	6.27E-24	-2.07E-25	2.97E-25	-7.03E-25	4.48E-25	4.43E-25	-3.23E-25	-5.51E-25	8.76E-25	-5.10E-25	15984132.47	3994205.605	-0.000215635	0.000551431	0.000144598	-0.000515402	115.4710325	57.73723971	103.6391997
