time,Ep_eff,,Nloop_1,Nloop_10,Nloop_11,Nloop_12,Nloop_13,Nloop_14,Nloop_15,Nloop_16,Nloop_17,Nloop_18,Nloop_19,Nloop_2,Nloop_20,Nloop_21,Nloop_22,Nloop_23,Nloop_24,Nloop_3,Nloop_4,Nloop_5,Nloop_6,Nloop_7,Nloop_8,Nloop_9,cslipr_1,cslipr_10,cslipr_11,cslipr_12,cslipr_13,cslipr_14,cslipr_15,cslipr_16,cslipr_17,cslipr_18,cslipr_19,cslipr_2,cslipr_20,cslipr_21,cslipr_22,cslipr_23,cslipr_24,cslipr_3,cslipr_4,cslipr_5,cslipr_6,cslipr_7,cslipr_8,cslipr_9,cstrainfrac1,cstrainfrac2,dloop_1,dloop_10,dloop_11,dloop_12,dloop_13,dloop_14,dloop_15,dloop_16,dloop_17,dloop_18,dloop_19,dloop_2,dloop_20,dloop_21,dloop_22,dloop_23,dloop_24,dloop_3,dloop_4,dloop_5,dloop_6,dloop_7,dloop_8,dloop_9,eeq,gslipr_1,gslipr_10,gslipr_11,gslipr_12,gslipr_13,gslipr_14,gslipr_15,gslipr_16,gslipr_17,gslipr_18,gslipr_19,gslipr_2,gslipr_20,gslipr_21,gslipr_22,gslipr_23,gslipr_24,gslipr_3,gslipr_4,gslipr_5,gslipr_6,gslipr_7,gslipr_8,gslipr_9,rho_i,rho_m,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140.9191466,9.63E-09,4.36E-06,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,8.57E-12,8.57E-12,8.57E-12,8.57E-12,8.57E-12,8.57E-12,8.57E-12,8.44E-12,8.44E-12,8.44E-12,9.43E-12,8.57E-12,9.43E-12,9.43E-12,8.57E-12,8.57E-12,8.57E-12,8.57E-12,8.44E-12,8.44E-12,8.44E-12,9.43E-12,9.43E-12,9.43E-12,1,0.9999972,3.47E-06,3.47E-06,3.47E-06,3.47E-06,3.47E-06,3.47E-06,3.47E-06,3.47E-06,3.47E-06,3.47E-06,3.47E-06,3.47E-06,3.47E-06,3.47E-06,3.47E-06,3.47E-06,3.47E-06,3.47E-06,3.47E-06,3.47E-06,3.47E-06,3.47E-06,3.47E-06,3.47E-06,0.000595341,1.66E-18,-5.25E-18,2.07E-16,2.46E-17,-1.03E-18,-3.39E-19,-9.86E-20,1.15E-18,-1.50E-18,2.93E-18,-1.15E-18,-4.62E-19,-4.30E-18,-2.93E-18,6.37E-17,-1.84E-18,-2.62E-18,-6.76E-18,4.78E-18,6.37E-18,-2.50E-18,-6.31E-18,6.04E-18,-4.19E-18,15999997.76,3999999.201,-0.000285338,0.000613986,0.000171958,-0.001189064,151.8711755,75.93896606,137.4577576
445.6254691,6.31E-08,1.29E-07,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,1.02E-11,1.02E-11,1.02E-11,1.02E-11,1.02E-11,1.02E-11,1.02E-11,1.01E-11,1.01E-11,1.01E-11,1.12E-11,1.02E-11,1.12E-11,1.12E-11,1.02E-11,1.02E-11,1.02E-11,1.02E-11,1.01E-11,1.01E-11,1.01E-11,1.12E-11,1.12E-11,1.12E-11,0.999994373,0.999809276,4.30E-06,4.30E-06,4.30E-06,4.30E-06,4.30E-06,4.30E-06,4.30E-06,4.30E-06,4.30E-06,4.30E-06,4.30E-06,4.30E-06,4.30E-06,4.30E-06,4.30E-06,4.30E-06,4.30E-06,4.30E-06,4.30E-06,4.30E-06,4.30E-06,4.30E-06,4.30E-06,4.30E-06,0.00063347,8.60E-17,-2.68E-16,3.95E-14,1.20E-14,-5.44E-17,-1.57E-17,-4.58E-18,5.34E-17,-7.49E-17,1.59E-16,-5.37E-17,-2.14E-17,-2.28E-16,-1.48E-16,6.12E-15,-6.62E-16,-4.12E-16,-4.17E-16,2.48E-16,3.14E-16,-1.33E-16,-3.58E-16,3.14E-16,-2.20E-16,15999986.43,3999994.767,-0.000303697,0.000653241,0.00018306,-0.001340064,161.6575032,80.83255557,146.3109577
1409.191466,2.33E-07,2.13E-10,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,2.08333E+12,1.02E-11,1.02E-11,1.02E-11,1.02E-11,1.02E-11,1.02E-11,1.02E-11,1.01E-11,1.01E-11,1.01E-11,1.12E-11,1.02E-11,1.12E-11,1.12E-11,1.02E-11,1.02E-11,1.02E-11,1.02E-11,1.01E-11,1.01E-11,1.01E-11,1.12E-11,1.12E-11,1.12E-11,0.999998798,0.999896073,6.27E-06,6.27E-06,6.27E-06,6.27E-06,6.27E-06,6.27E-06,6.27E-06,6.27E-06,6.27E-06,6.27E-06,6.27E-06,6.27E-06,6.27E-06,6.27E-06,6.27E-06,6.27E-06,6.27E-06,6.27E-06,6.27E-06,6.27E-06,6.27E-06,6.27E-06,6.27E-06,6.27E-06,0.000633616,4.20E-17,-1.32E-16,1.88E-14,5.69E-15,-2.65E-17,-7.85E-18,-2.24E-18,2.67E-17,-3.69E-17,7.74E-17,-2.66E-17,-1.07E-17,-1.11E-16,-7.26E-17,2.94E-15,-3.19E-16,-1.99E-16,-1.99E-16,1.21E-16,1.55E-16,-6.51E-17,-1.73E-16,1.54E-16,-1.08E-16,15999950.53,3999980.696,-0.000303695,0.000653446,0.000183094,-0.001339518,161.6575042,80.83255534,146.3084222
4456.254691,7.69E-07,2.13E-10,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,1.02E-11,1.02E-11,1.02E-11,1.02E-11,1.02E-11,1.02E-11,1.02E-11,1.01E-11,1.01E-11,1.01E-11,1.12E-11,1.02E-11,1.12E-11,1.12E-11,1.02E-11,1.02E-11,1.02E-11,1.02E-11,1.01E-11,1.01E-11,1.01E-11,1.12E-11,1.12E-11,1.12E-11,0.999999858,0.999967337,1.03E-05,1.03E-05,1.03E-05,1.03E-05,1.03E-05,1.03E-05,1.03E-05,1.03E-05,1.03E-05,1.03E-05,1.03E-05,1.03E-05,1.03E-05,1.03E-05,1.03E-05,1.03E-05,1.03E-05,1.03E-05,1.03E-05,1.03E-05,1.03E-05,1.03E-05,1.03E-05,1.03E-05,0.000634079,1.22E-17,-3.84E-17,5.20E-15,1.57E-15,-7.65E-18,-2.38E-18,-6.28E-19,8.08E-18,-1.08E-17,2.23E-17,-7.88E-18,-3.21E-18,-3.21E-17,-2.13E-17,8.31E-16,-9.03E-17,-5.64E-17,-5.55E-17,3.52E-17,4.58E-17,-1.89E-17,-4.94E-17,4.50E-17,-3.13E-17,15999836.96,3999936.2,-0.000303687,0.000654094,0.0001832,-0.001337791,161.6575076,80.83255459,146.3004154
14091.91466,2.46E-06,2.13E-10,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,2.08334E+12,1.02E-11,1.02E-11,1.02E-11,1.02E-11,1.02E-11,1.02E-11,1.02E-11,1.01E-11,1.01E-11,1.01E-11,1.12E-11,1.02E-11,1.12E-11,1.12E-11,1.02E-11,1.02E-11,1.02E-11,1.02E-11,1.01E-11,1.01E-11,1.01E-11,1.12E-11,1.12E-11,1.12E-11,0.999999987,0.999994633,1.77E-05,1.77E-05,1.77E-05,1.77E-05,1.77E-05,1.77E-05,1.77E-05,1.77E-05,1.77E-05,1.77E-05,1.77E-05,1.77E-05,1.77E-05,1.77E-05,1.77E-05,1.77E-05,1.77E-05,1.77E-05,1.77E-05,1.77E-05,1.77E-05,1.77E-05,1.77E-05,1.77E-05,0.000635544,1.98E-18,-6.36E-18,7.94E-16,2.40E-16,-1.24E-18,-4.16E-19,-8.50E-20,1.44E-18,-1.77E-18,3.66E-18,-1.30E-18,-5.57E-19,-5.22E-18,-3.54E-18,1.31E-16,-1.43E-17,-8.80E-18,-8.64E-18,5.77E-18,7.73E-18,-3.15E-18,-7.95E-18,7.54E-18,-5.15E-18,15999477.89,3999795.527,-0.000303663,0.000656143,0.000183538,-0.001332328,161.6575182,80.83255221,146.2752047
44562.54691,7.82E-06,2.12E-10,2.08335E+12,2.08335E+12,2.08335E+12,2.08335E+12,2.08335E+12,2.08335E+12,2.08335E+12,2.08335E+12,2.08335E+12,2.08335E+12,2.08335E+12,2.08335E+12,2.08335E+12,2.08335E+12,2.08335E+12,2.08335E+12,2.08335E+12,2.08335E+12,2.08335E+12,2.08335E+12,2.08335E+12,2.08335E+12,2.08335E+12,2.08335E+12,1.02E-11,1.02E-11,1.02E-11,1.02E-11,1.02E-11,1.02E-11,1.02E-11,1.00E-11,1.00E-11,1.00E-11,1.12E-11,1.02E-11,1.12E-11,1.12E-11,1.02E-11,1.02E-11,1.02E-11,1.02E-11,1.00E-11,1.00E-11,1.00E-11,1.12E-11,1.12E-11,1.12E-11,0.999999999,0.999999522,3.12E-05,3.12E-05,3.12E-05,3.12E-05,3.12E-05,3.12E-05,3.12E-05,3.12E-05,3.12E-05,3.12E-05,3.12E-05,3.12E-05,3.12E-05,3.12E-05,3.12E-05,3.12E-05,3.12E-05,3.12E-05,3.12E-05,3.12E-05,3.12E-05,3.12E-05,3.12E-05,3.12E-05,0.000640179,1.75E-19,-5.95E-19,6.62E-17,2.03E-17,-1.09E-19,-4.22E-20,-1.22E-21,1.55E-19,-1.57E-19,3.50E-19,-1.11E-19,-5.59E-20,-4.71E-19,-3.29E-19,1.17E-17,-1.25E-18,-7.18E-19,-7.73E-19,5.35E-19,7.44E-19,-3.08E-19,-7.34E-19,7.36E-19,-4.79E-19,15998343.19,3999351.127,-0.000303584,0.000662615,0.000184603,-0.001315203,161.6575514,80.83254447,146.1965582
140919.1466,2.47E-05,2.12E-10,2.08336E+12,2.08336E+12,2.08336E+12,2.08336E+12,2.08336E+12,2.08336E+12,2.08336E+12,2.08336E+12,2.08336E+12,2.08336E+12,2.08336E+12,2.08336E+12,2.08336E+12,2.08336E+12,2.08336E+12,2.08336E+12,2.08336E+12,2.08336E+12,2.08336E+12,2.08336E+12,2.08336E+12,2.08336E+12,2.08336E+12,2.08336E+12,1.02E-11,1.02E-11,1.02E-11,1.02E-11,1.02E-11,1.02E-11,1.02E-11,1.00E-11,1.00E-11,1.00E-11,1.12E-11,1.02E-11,1.12E-11,1.12E-11,1.02E-11,1.02E-11,1.02E-11,1.02E-11,1.00E-11,1.00E-11,1.00E-11,1.12E-11,1.12E-11,1.12E-11,1,0.999999976,5.54E-05,5.54E-05,5.54E-05,5.54E-05,5.54E-05,5.54E-05,5.54E-05,5.54E-05,5.54E-05,5.54E-05,5.54E-05,5.54E-05,5.54E-05,5.54E-05,5.54E-05,5.54E-05,5.54E-05,5.54E-05,5.54E-05,5.54E-05,5.54E-05,5.54E-05,5.54E-05,5.54E-05,0.00065486,7.60E-21,-3.13E-20,2.97E-18,9.74E-19,-4.66E-21,-2.45E-21,1.17E-21,1.09E-20,-6.17E-21,2.07E-20,-3.04E-21,-3.19E-21,-2.26E-20,-1.63E-20,6.08E-19,-5.96E-20,-2.42E-20,-4.38E-20,2.81E-20,4.01E-20,-1.91E-20,-4.09E-20,4.42E-20,-2.52E-20,15994762.91,3997950.272,-0.000303318,0.000683013,0.000187962,-0.001266635,161.6576467,80.83251314,145.9583333
445625.4691,7.75E-05,2.10E-10,2.08337E+12,2.08337E+12,2.08337E+12,2.08337E+12,2.08337E+12,2.08337E+12,2.08337E+12,2.08337E+12,2.08337E+12,2.08337E+12,2.08338E+12,2.08337E+12,2.08338E+12,2.08338E+12,2.08337E+12,2.08337E+12,2.08337E+12,2.08337E+12,2.08337E+12,2.08337E+12,2.08337E+12,2.08338E+12,2.08338E+12,2.08338E+12,1.00E-11,1.01E-11,1.01E-11,1.01E-11,1.00E-11,1.00E-11,1.00E-11,9.88E-12,9.88E-12,9.88E-12,1.11E-11,1.00E-11,1.11E-11,1.11E-11,1.01E-11,1.01E-11,1.01E-11,1.00E-11,9.88E-12,9.88E-12,9.88E-12,1.11E-11,1.11E-11,1.11E-11,1,0.999999999,9.84E-05,9.84E-05,9.84E-05,9.84E-05,9.84E-05,9.84E-05,9.84E-05,9.84E-05,9.84E-05,9.84E-05,9.84E-05,9.84E-05,9.84E-05,9.84E-05,9.84E-05,9.84E-05,9.84E-05,9.84E-05,9.84E-05,9.84E-05,9.84E-05,9.84E-05,9.84E-05,9.84E-05,0.000701461,6.98E-23,-9.22E-22,6.70E-20,2.71E-20,-7.81E-24,-7.33E-23,1.52E-22,5.53E-22,1.14E-22,8.33E-22,2.46E-22,-9.05E-23,-4.35E-22,-3.67E-22,1.88E-20,-1.29E-21,3.39E-22,-1.85E-21,8.57E-22,1.04E-21,-8.11E-22,-1.42E-21,1.79E-21,-8.10E-22,15983517.06,3993562.864,-0.000302295,0.000746856,0.000198487,-0.001267799,161.6577021,80.83223648,145.3011871
561009.2272,9.73E-05,2.07E-10,2.08338E+12,2.08338E+12,2.08338E+12,2.08338E+12,2.08338E+12,2.08338E+12,2.08338E+12,2.08338E+12,2.08338E+12,2.08338E+12,2.08338E+12,2.08338E+12,2.08338E+12,2.08338E+12,2.08338E+12,2.08338E+12,2.08338E+12,2.08338E+12,2.08338E+12,2.08338E+12,2.08338E+12,2.08338E+12,2.08338E+12,2.08338E+12,9.99E-12,1.00E-11,1.00E-11,1.00E-11,9.99E-12,9.99E-12,9.99E-12,9.82E-12,9.82E-12,9.82E-12,1.10E-11,9.99E-12,1.10E-11,1.10E-11,1.00E-11,1.00E-11,1.00E-11,9.99E-12,9.82E-12,9.82E-12,9.82E-12,1.10E-11,1.10E-11,1.10E-11,1,1,0.000110146,0.000110158,0.000110158,0.000110158,0.000110146,0.000110146,0.000110146,0.000110148,0.000110148,0.000110148,0.000110154,0.000110146,0.000110154,0.000110154,0.000110158,0.000110158,0.000110158,0.000110146,0.000110148,0.000110148,0.000110148,0.000110154,0.000110154,0.000110154,0.000719123,-4.29E-24,-3.20E-22,2.04E-20,9.21E-21,2.64E-23,-2.29E-23,7.33E-23,2.32E-22,1.13E-22,3.24E-22,1.58E-22,-2.63E-23,-9.99E-23,-1.08E-22,6.56E-21,-3.45E-22,2.94E-22,-7.48E-22,3.05E-22,3.01E-22,-3.18E-22,-5.12E-22,7.04E-22,-3.09E-22,15979290.11,3991919.122,-0.00030183,0.000770751,0.000202437,-0.001005229,161.6581128,80.83241835,145.0873265
