time,Ep_eff,Nloop_1,Nloop_10,Nloop_11,Nloop_12,Nloop_13,Nloop_14,Nloop_15,Nloop_16,Nloop_17,Nloop_18,Nloop_19,Nloop_2,Nloop_20,Nloop_21,Nloop_22,Nloop_23,Nloop_24,Nloop_3,Nloop_4,Nloop_5,Nloop_6,Nloop_7,Nloop_8,Nloop_9,cslipr_1,cslipr_10,cslipr_11,cslipr_12,cslipr_13,cslipr_14,cslipr_15,cslipr_16,cslipr_17,cslipr_18,cslipr_19,cslipr_2,cslipr_20,cslipr_21,cslipr_22,cslipr_23,cslipr_24,cslipr_3,cslipr_4,cslipr_5,cslipr_6,cslipr_7,cslipr_8,cslipr_9,cstrainfrac1,cstrainfrac2,dloop_1,dloop_10,dloop_11,dloop_12,dloop_13,dloop_14,dloop_15,dloop_16,dloop_17,dloop_18,dloop_19,dloop_2,dloop_20,dloop_21,dloop_22,dloop_23,dloop_24,dloop_3,dloop_4,dloop_5,dloop_6,dloop_7,dloop_8,dloop_9,eeq,gslipr_1,gslipr_10,gslipr_11,gslipr_12,gslipr_13,gslipr_14,gslipr_15,gslipr_16,gslipr_17,gslipr_18,gslipr_19,gslipr_2,gslipr_20,gslipr_21,gslipr_22,gslipr_23,gslipr_24,gslipr_3,gslipr_4,gslipr_5,gslipr_6,gslipr_7,gslipr_8,gslipr_9,rho_i,rho_m,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
397.16411736214,8.3377134185144e-09,5000000094019.6,5000000093793.1,5000000093793.1,5000000093793.1,5000000094019.6,5000000094019.6,5000000094019.6,5000000092638.8,5000000092638.8,5000000092638.8,5000000102866.4,5000000094019.6,5000000102866.4,5000000102866.4,5000000093793.1,5000000093793.1,5000000093793.1,5000000094019.6,5000000092638.8,5000000092638.8,5000000092638.8,5000000102866.4,5000000102866.4,5000000102866.4,1.5938210672631e-12,1.5899716502306e-12,1.5899716502306e-12,1.5899716502306e-12,1.5938210672631e-12,1.5938210672631e-12,1.5938210672631e-12,1.5704090139584e-12,1.5704090139584e-12,1.5704090139584e-12,1.7438119918898e-12,1.5938210672631e-12,1.7438119918898e-12,1.7438119918898e-12,1.5899716502306e-12,1.5899716502306e-12,1.5899716502306e-12,1.5938210672631e-12,1.5704090139584e-12,1.5704090139584e-12,1.5704090139584e-12,1.7438119918898e-12,1.7438119918898e-12,1.7438119918898e-12,0.99999999987007,0.9999999804291,3.5395351291071e-06,3.5395380278422e-06,3.5395380278422e-06,3.5395380278422e-06,3.5395351291071e-06,3.5395351291071e-06,3.5395351291071e-06,3.5395353240595e-06,3.5395353240595e-06,3.5395353240595e-06,3.5395382907287e-06,3.5395351291071e-06,3.5395382907287e-06,3.5395382907287e-06,3.5395380278422e-06,3.5395380278422e-06,3.5395380278422e-06,3.5395351291071e-06,3.5395353240595e-06,3.5395353240595e-06,3.5395353240595e-06,3.5395382907287e-06,3.5395382907287e-06,3.5395382907287e-06,2.0207063891966e-05,3.7914761858524e-23,2.0374339082928e-21,3.6738357197271e-21,-1.8443323595829e-21,6.7403734629416e-22,-3.88180810116e-22,-3.3084392366678e-22,1.7612973998893e-21,-7.5990688457655e-22,4.2611921156163e-22,1.0262029558521e-21,-6.6553886947822e-22,1.5075672538526e-21,-2.99216053407e-21,1.3883439978734e-21,2.7298490897747e-21,-2.5869692392373e-21,6.3829218162069e-22,1.3095607963454e-21,3.5069938502687e-21,1.1981708270993e-21,-6.1782783905625e-22,1.3796449325027e-21,-3.5577938747972e-21,15999997.374864,3999999.0077228,-9.7226448275037e-06,2.0354726646845e-05,5.5565786346841e-06,-1.7905826078262e-06,4.6189305547844,2.3094698593471,4.2715135205028
3971.6411736214,1.0588143612696e-07,5000000828256.9,5000000826290.1,5000000826290.1,5000000826290.1,5000000828256.9,5000000828256.9,5000000828256.9,5000000816060.8,5000000816060.8,5000000816060.8,5000000906242.5,5000000828256.9,5000000906242.5,5000000906242.5,5000000826290.1,5000000826290.1,5000000826290.1,5000000828256.9,5000000816060.8,5000000816060.8,5000000816060.8,5000000906242.5,5000000906242.5,5000000906242.5,1.5929098264606e-12,1.5891878274138e-12,1.589187827414e-12,1.589187827414e-12,1.5929098264608e-12,1.5929098264606e-12,1.5929098264606e-12,1.5693794939798e-12,1.5693794939798e-12,1.5693794939798e-12,1.7429984582501e-12,1.5929098264607e-12,1.7429984582501e-12,1.7429984582502e-12,1.5891878274139e-12,1.5891878274139e-12,1.589187827414e-12,1.5929098264607e-12,1.5693794939798e-12,1.5693794939799e-12,1.5693794939798e-12,1.7429984582501e-12,1.7429984582502e-12,1.7429984582502e-12,0.99999999987839,0.99999998069915,6.7217183914516e-06,6.7217366445231e-06,6.7217366445232e-06,6.7217366445231e-06,6.7217183914516e-06,6.7217183914515e-06,6.7217183914516e-06,6.7217196589742e-06,6.7217196589742e-06,6.7217196589741e-06,6.7217379328371e-06,6.7217183914516e-06,6.721737932837e-06,6.721737932837e-06,6.7217366445231e-06,6.721736644523e-06,6.7217366445231e-06,6.7217183914516e-06,6.7217196589742e-06,6.7217196589742e-06,6.7217196589741e-06,6.721737932837e-06,6.7217379328371e-06,6.721737932837e-06,2.0293930312808e-05,3.9827713788129e-23,2.0061164340457e-21,3.6254485950347e-21,-1.8175874707819e-21,6.8665642641205e-22,-3.6538787233093e-22,-2.9863021337371e-22,1.7485125695119e-21,-7.1247809603065e-22,4.408705769049e-22,1.0451330232596e-21,-6.587573167305e-22,1.5165799915019e-21,-2.934590677428e-21,1.4066818269779e-21,2.7222813690759e-21,-2.5210325256874e-21,6.2253594091066e-22,1.2811049881522e-21,3.4221695272334e-21,1.1678866185529e-21,-6.0966878883488e-22,1.3732107521011e-21,-3.5134445741197e-21,15999967.276734,3999987.3978845,-9.7238647228484e-06,2.0475308819382e-05,5.5765316042471e-06,-1.7845819215494e-06,4.6189305646233,2.3094698512688,4.2699226053287
39716.411736214,1.0769315024226e-06,5000003751838.5,5000003744134.4,5000003744134.4,5000003744134.4,5000003751838.5,5000003751838.5,5000003751838.5,5000003695314.9,5000003695314.9,5000003695314.9,5000004106822.2,5000003751838.5,5000004106822.2,5000004106822.2,5000003744134.4,5000003744134.4,5000003744134.4,5000003751838.5,5000003695314.9,5000003695314.9,5000003695314.9,5000004106822.2,5000004106822.2,5000004106822.2,1.5841593580767e-12,1.5816431259291e-12,1.5816431259307e-12,1.5816431259304e-12,1.5841593580782e-12,1.5841593580771e-12,1.5841593580771e-12,1.5594586010896e-12,1.5594586010898e-12,1.559458601089e-12,1.7351427381542e-12,1.5841593580778e-12,1.7351427381545e-12,1.7351427381555e-12,1.5816431259298e-12,1.5816431259294e-12,1.581643125931e-12,1.5841593580779e-12,1.5594586010894e-12,1.55945860109e-12,1.5594586010892e-12,1.7351427381539e-12,1.7351427381551e-12,1.7351427381554e-12,0.99999999996735,0.99999998151718,1.9430995249766e-05,1.9431061043213e-05,1.9431061043216e-05,1.9431061043213e-05,1.9430995249767e-05,1.9430995249765e-05,1.9430995249767e-05,1.9431001122084e-05,1.9431001122087e-05,1.9431001122083e-05,1.9431053130279e-05,1.9430995249766e-05,1.9431053130278e-05,1.9431053130279e-05,1.9431061043215e-05,1.9431061043212e-05,1.9431061043215e-05,1.9430995249768e-05,1.9431001122085e-05,1.9431001122086e-05,1.9431001122082e-05,1.9431053130279e-05,1.9431053130279e-05,1.9431053130278e-05,2.116490056428e-05,6.4575183817118e-23,1.9231059717013e-21,3.5315929151722e-21,-1.7236195590779e-21,8.4457697377951e-22,-1.9232425326959e-22,-4.4270841697084e-23,1.795237138504e-21,-3.5971858405081e-22,6.1167406021602e-22,1.2858908169472e-21,-6.5012611627398e-22,1.7122406250947e-21,-2.6846103775872e-21,1.6839899324653e-21,2.9001857971504e-21,-2.1445677873272e-21,5.3593570513648e-22,1.1719112334536e-21,3.0180115620145e-21,1.0314760697015e-21,-6.025057962017e-22,1.4151838760446e-21,-3.438912155948e-21,15999667.001608,3999871.6815828,-9.7342162536151e-06,2.167593822048e-05,5.7748557030962e-06,-4.5684239644794e-06,4.6189266471094,2.3094664291709,4.2549400941294
397164.11736214,1.0420393027963e-05,5000013070141.2,5000013066516.3,5000013066516.1,5000013066516.2,5000013070141.1,5000013070141.2,5000013070141.1,5000012833053.3,5000012833053.2,5000012833053.4,5000014349018.1,5000013070141.1,5000014349018.2,5000014349018.1,5000013066516.1,5000013066516.3,5000013066516.1,5000013070141,5000012833053.3,5000012833053.2,5000012833053.4,5000014349018.2,5000014349018.1,5000014349018.1,1.5220627432796e-12,1.5241791256496e-12,1.5241791256672e-12,1.5241791256648e-12,1.5220627432951e-12,1.5220627432836e-12,1.5220627432839e-12,1.4856315594909e-12,1.4856315594932e-12,1.4856315594844e-12,1.6779720135669e-12,1.5220627432909e-12,1.6779720135691e-12,1.6779720135806e-12,1.5241791256575e-12,1.5241791256531e-12,1.5241791256702e-12,1.5220627432927e-12,1.4856315594882e-12,1.4856315594947e-12,1.4856315594862e-12,1.6779720135631e-12,1.6779720135756e-12,1.6779720135785e-12,0.99999999999726,0.99999998143466,6.0915785585373e-05,6.0916019303533e-05,6.0916019303657e-05,6.0916019303557e-05,6.091578558542e-05,6.091578558536e-05,6.0915785585405e-05,6.0915861645985e-05,6.091586164605e-05,6.0915861645934e-05,6.0915605426103e-05,6.0915785585373e-05,6.0915605426062e-05,6.0915605426106e-05,6.0916019303611e-05,6.0916019303501e-05,6.0916019303625e-05,6.0915785585447e-05,6.0915861646e-05,6.091586164605e-05,6.0915861645928e-05,6.0915605426078e-05,6.0915605426115e-05,6.0915605426087e-05,2.991275629404e-05,2.8036926746086e-22,1.9524959659657e-21,4.1696094102353e-21,-1.6108195841436e-21,1.3930473360135e-21,5.5117481984158e-22,1.1411255409983e-21,1.925741782309e-21,1.471648006392e-21,1.439009996077e-21,2.8054276273272e-21,-5.1250797187862e-22,3.0275597475004e-21,-2.3616109364135e-21,3.6137983310564e-21,4.4324074957445e-21,-8.6096116785038e-22,8.6415637312648e-23,9.7058402616734e-22,1.1840832411363e-21,6.8258253473048e-22,-7.4269371238084e-22,2.1545359903296e-21,-4.0148560744989e-21,15996720.016816,3998744.8586786,-9.6644515673787e-06,3.3218891030267e-05,7.6801820006721e-06,-0.0010202273375571,4.6170986321065,2.3082599728122,4.1700046724928
1255943.2157548,3.1065590211397e-05,5000022930767.8,5000022927274.5,5000022927273.5,5000022927274.1,5000022930767.2,5000022930767.8,5000022930767.5,5000022385355.1,5000022385354.7,5000022385355.6,5000025262050.9,5000022930767.6,5000025262051.2,5000025262050.8,5000022927273.9,5000022927274.6,5000022927273.7,5000022930767.1,5000022385355.2,5000022385354.7,5000022385355.5,5000025262051.2,5000025262050.8,5000025262050.9,1.4439335857897e-12,1.4434701112695e-12,1.4434701113441e-12,1.4434701113358e-12,1.4439335858566e-12,1.443933585805e-12,1.44393358581e-12,1.395699429393e-12,1.3956994293963e-12,1.3956994293622e-12,1.6005081413713e-12,1.4439335858362e-12,1.6005081413752e-12,1.6005081414253e-12,1.4434701113028e-12,1.4434701112866e-12,1.4434701113576e-12,1.4439335858482e-12,1.3956994293736e-12,1.395699429406e-12,1.3956994293739e-12,1.6005081413519e-12,1.600508141406e-12,1.6005081414158e-12,0.99999999999791,0.99999997691446,0.00010714181380841,0.00010714227334388,0.00010714227334464,0.0001071422733441,0.00010714181380876,0.00010714181380837,0.00010714181380862,0.00010714239638184,0.00010714239638219,0.00010714239638153,0.00010713979734598,0.00010714181380847,0.00010713979734576,0.00010713979734607,0.00010714227334436,0.00010714227334373,0.00010714227334446,0.0001071418138089,0.00010714239638187,0.00010714239638221,0.00010714239638153,0.0001071397973458,0.00010713979734609,0.00010713979734596,5.0070663723116e-05,4.8233130129104e-22,1.8714563797864e-21,6.4888355263688e-21,-1.8082536047435e-21,1.060381808488e-22,1.3934667148762e-21,1.8777016869339e-21,2.0156961568793e-22,3.6473384276818e-21,1.4439057467549e-21,4.4995660106945e-21,1.056491789495e-21,4.1888235207594e-21,-3.7554072246025e-21,6.1764028985135e-21,5.7601445556272e-21,-9.9661367756868e-22,-8.8650521902465e-22,1.5724685351195e-21,-1.8161255646848e-21,1.0798504347959e-21,-1.078270226801e-21,3.956177644226e-21,-5.5663206445726e-21,15989891.112756,3996174.0844366,-8.5060761656648e-06,5.8393682620051e-05,1.226186156311e-05,0.001045716072701,4.6198617835782,2.3105528550548,4.1540341332779
2964591.8548594,6.8693477411328e-05,5000034491426.1,5000034544135.4,5000034544132.1,5000034544133.9,5000034491423.8,5000034491425.7,5000034491425.1,5000033669884,5000033669883,5000033669885.6,5000038032275,5000034491424.9,5000038032276,5000038032274,5000034544133.3,5000034544135.6,5000034544132.6,5000034491423.5,5000033669884.6,5000033669882.7,5000033669885.2,5000038032276.2,5000038032274.2,5000038032274.5,1.3853454639314e-12,1.397836913509e-12,1.3978369137372e-12,1.3978369137178e-12,1.385345464147e-12,1.3853454639789e-12,1.385345463999e-12,1.364217871576e-12,1.3642178715523e-12,1.3642178714712e-12,1.5245293877441e-12,1.3853454640771e-12,1.5245293877529e-12,1.5245293879048e-12,1.3978369136069e-12,1.3978369135713e-12,1.3978369137807e-12,1.3853454641218e-12,1.3642178714833e-12,1.3642178715964e-12,1.3642178715239e-12,1.5245293876823e-12,1.5245293878428e-12,1.5245293878807e-12,0.99999999999836,0.9999999680778,0.00016400740715611,0.00016400809692259,0.00016400809692566,0.00016400809692373,0.00016400740715788,0.00016400740715616,0.00016400740715696,0.00016400977670354,0.00016400977670473,0.00016400977670214,0.00016399917506337,0.00016400740715677,0.00016399917506247,0.000163999175064,0.00016400809692455,0.00016400809692222,0.00016400809692504,0.00016400740715831,0.00016400977670331,0.00016400977670489,0.00016400977670237,0.00016399917506242,0.00016399917506398,0.00016399917506358,8.7392781765552e-05,-7.3251420511089e-23,1.6216940337812e-21,1.1192583987768e-20,-2.0629137262715e-21,-2.6753395152579e-21,4.3618867877049e-21,2.9241300615457e-21,-2.9519747095144e-21,6.7048138097954e-21,1.8511875819908e-21,7.0954001415007e-21,5.0989183008338e-21,5.6935244092681e-21,-6.3912199273267e-21,1.0363633073678e-20,7.3218124832591e-21,-2.1934621601434e-21,-2.7341653119162e-21,2.8733917172054e-21,-5.766163563198e-21,2.9327381994678e-21,-1.9368267955732e-21,6.7714458852708e-21,-8.2605527381539e-21,15976712.536164,3991284.3374627,-4.3621777811894e-06,0.00010257548826949,2.2720687994586e-05,-0.00056850659870059,4.6204382422374,2.3087878919923,4.302332210558
9374862.5941391,0.00019760732028812,5000059803349.4,5000059937869.8,5000059937833,5000059937844.9,5000059803310.7,5000059803339,5000059803339.9,5000058927599.8,5000058927599.7,5000058927619.5,5000065060105.6,5000059803325,5000065060117.6,5000065060090.1,5000059937850.9,5000059937866.8,5000059937830.6,5000059803314.6,5000058927615.9,5000058927596.2,5000058927607.2,5000065060124.2,5000065060095.2,5000065060094.4,1.4207339818102e-12,1.4113700763794e-12,1.4113700788042e-12,1.4113700786677e-12,1.4207339847917e-12,1.4207339823176e-12,1.4207339826788e-12,1.4274085252635e-12,1.427408524818e-12,1.427408524223e-12,1.4744424468915e-12,1.4207339835333e-12,1.4744424467077e-12,1.4744424483243e-12,1.4113700772714e-12,1.4113700770649e-12,1.4113700794692e-12,1.420733984484e-12,1.4274085241119e-12,1.4274085251648e-12,1.4274085250065e-12,1.4744424459355e-12,1.474442447724e-12,1.4744424482535e-12,0.99999999999715,0.99999991409376,0.00029131183762587,0.00029131088130908,0.00029131088134015,0.00029131088132678,0.0002913118376533,0.00029131183763273,0.00029131183763427,0.00029131962112041,0.00029131962112408,0.00029131962110417,0.00029126991868017,0.00029131183764266,0.0002912699186712,0.00029126991869226,0.00029131088132681,0.00029131088130993,0.00029131088133856,0.0002913118376526,0.00029131962111004,0.00029131962112736,0.00029131962111165,0.00029126991866689,0.00029126991868875,0.00029126991868832,0.00021774631507796,1.0879455186455e-20,2.0442093085425e-20,5.4285394112432e-20,2.4998568827735e-21,-1.2134284361128e-20,8.8656059498887e-21,1.6487481020081e-20,-3.6596122329784e-20,-7.4716638504678e-21,2.1780244830966e-20,-3.0250012081241e-21,2.509116583907e-20,2.2825304162844e-20,-3.2161683169658e-20,2.5541327976798e-20,2.405367331361e-20,-1.5059111285653e-20,-1.229874302442e-20,-1.112942998213e-20,-1.6114789311532e-20,3.8449932809547e-20,4.4150211997719e-22,7.5526382362916e-21,-4.3350965740523e-20,15928282.384206,3973409.9247181,1.9809136580742e-05,0.00024080713265699,7.6860500168353e-05,0.00016820631849345,4.6195775607404,2.3093203107683,5.5631234475144
10514650.142941,0.00022070478651507,5000063348859.7,5000063413363.9,5000063413309.4,5000063413325.1,5000063348794.1,5000063348843.2,5000063348846.3,5000062477659.1,5000062477657.3,5000062477690,5000068682162.9,5000063348820.3,5000068682188.5,5000068682144.5,5000063413336.9,5000063413359.8,5000063413302.8,5000063348803.5,5000062477684.2,5000062477655.4,5000062477668,5000068682197.1,5000068682150,5000068682151.2,1.5067595110416e-12,1.470793535833e-12,1.4707935405661e-12,1.4707935403379e-12,1.5067595191243e-12,1.506759512321e-12,1.5067595127724e-12,1.5060995089645e-12,1.5060995092546e-12,1.5060995065435e-12,1.5333984295341e-12,1.5067595154471e-12,1.5333984268598e-12,1.533398430939e-12,1.4707935375453e-12,1.4707935369144e-12,1.4707935420903e-12,1.5067595177097e-12,1.5060995068372e-12,1.5060995090279e-12,1.5060995086825e-12,1.5333984258401e-12,1.5333984306151e-12,1.5333984306068e-12,1.0000000000093,0.99999987573408,0.00030807106327371,0.0003080700019499,0.00030807000199386,0.00030807000197666,0.00030807106331574,0.00030807106328434,0.00030807106328537,0.00030807940796595,0.00030807940796975,0.00030807940794261,0.00030802301677562,0.00030807106329948,0.0003080230167616,0.0003080230167927,0.00030807000197409,0.00030807000195181,0.00030807000199358,0.00030807106331322,0.00030807940794974,0.0003080794079739,0.00030807940795487,0.00030802301675505,0.00030802301678759,0.00030802301678722,0.00024152648898164,3.9754527299394e-20,5.8577030124921e-20,1.0177318808097e-19,2.3249325485758e-21,-1.407221704635e-20,-1.3533488568434e-20,3.6746333937988e-20,-8.7468681802549e-20,-7.3961370397454e-20,5.1982130593419e-20,-6.5337404931275e-20,2.9173308216861e-20,4.1880581309635e-20,-6.8621781641366e-20,1.7522491253345e-20,4.3288087598443e-20,-4.5725098310029e-20,-2.5770176959403e-20,-5.227780666353e-20,-5.2352819597204e-21,1.0174350819286e-19,2.3432508408726e-20,-1.2529490207375e-20,-8.7188421233151e-20,15919428.455514,3970088.2633274,2.5458564518567e-05,0.00026361775635627,8.8852358082058e-05,0.00082789880321772,4.6195894245867,2.3099707881115,5.8934463896954
13237160.261074,0.00027850300664053,5000071636985.6,5000071369323.3,5000071369189,5000071369210.3,5000071636715,5000071636930.6,5000071636957.4,5000070717484.9,5000070717452.8,5000070717583.7,5000077000963.4,5000071636842,5000077001132.7,5000077000985.4,5000071369257.9,5000071369317.8,5000071369152.6,5000071636787.4,5000070717547.2,5000070717497.2,5000070717483.6,5000077001126,5000077000974.3,5000077001013,1.6576841091039e-12,1.5714350928736e-12,1.5714351042345e-12,1.5714351072206e-12,1.6576841535505e-12,1.657684115623e-12,1.6576841137049e-12,1.6396312130547e-12,1.6396312212838e-12,1.6396312026289e-12,1.6471142794158e-12,1.6576841325358e-12,1.6471142530966e-12,1.6471142716911e-12,1.5714350972258e-12,1.5714350948019e-12,1.571435110644e-12,1.6576841393093e-12,1.639631208305e-12,1.6396312111253e-12,1.639631216341e-12,1.6471142551155e-12,1.6471142762618e-12,1.6471142686671e-12,0.99999999999423,0.99999975620823,0.00034485873472928,0.00034485884876307,0.00034485884885989,0.00034485884883093,0.00034485873485403,0.00034485873475836,0.00034485873475303,0.000344868419746,0.00034486841975686,0.00034486841968879,0.00034479719595432,0.00034485873480125,0.00034479719589668,0.00034479719597751,0.0003448588488128,0.00034485884876827,0.00034485884887025,0.000344858734834,0.00034486841970507,0.00034486841975432,0.00034486841973023,0.00034479719588632,0.00034479719597168,0.00034479719596378,0.00030149172535941,2.0375092305148e-19,2.6670372391458e-19,3.357192461143e-19,-2.9082034670971e-20,-5.0201202378204e-20,-1.7571046492797e-19,1.5295328540748e-19,-4.750556836534e-19,-5.2930444911613e-19,2.1622684868269e-19,-5.1820925526053e-19,2.2823369901436e-20,1.3456039700332e-19,-3.1767803632422e-19,-7.5594144590707e-20,1.1030717170437e-19,-2.7902089517182e-19,-1.4119628278075e-19,-3.2936791911665e-19,4.2931412559658e-20,6.1151314050169e-19,2.0653502320186e-19,-9.42900789981e-20,-3.2172012840965e-19,15897471.527708,3961735.1149529,4.0951888773642e-05,0.00031847515843477,0.00012055645351594,0.0011226165516697,4.6196971463588,2.3099339931202,6.8715077456315
